,net,con,param_F,param_G,it,MeanAA,StdAA,MeanSp,StdSp,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
1,0,1,1,1,1,1393.1775700934602,5315.125577354529,366.412,109.157841019324,73.2824,21.831568203864798,10.1024,4.94550242543667,7.788427820336009,1.50653040677058,1.0754716981132075
2,0,1,1,1,2,1333.95327102804,5326.941640454411,362.316,106.635529463683,72.4632,21.3271058927366,10.2032,4.9901332407061,8.27809802709284,1.50125671970749,0.9433962264150944
3,0,1,1,1,3,1432.1308411215,5303.4216288670505,372.156,107.666316292516,74.4312,21.533263258503105,10.884,5.030735930259111,8.584477938672759,1.5832872172516799,0.9716981132075472
4,0,1,1,1,4,1206.70093457944,4892.119818828521,371.596,110.994670070234,74.3192,22.1989340140467,10.3528,5.179792675387691,7.80513796092805,1.6831049383682999,0.9528301886792452
5,0,1,1,1,5,1353.64485981308,5486.753547472121,331.916,95.03042115028221,66.3832,19.0060842300564,8.8712,4.37511720528719,8.22316575152899,1.6411956483921102,1.018867924528302
6,0,1,1,1,6,1262.78504672897,5261.4301083993105,345.38,101.32184167295799,69.07600000000001,20.2643683345916,9.276,4.56905942180664,7.87738149526043,1.44981277623685,0.9056603773584906
7,0,1,1,1,7,1426.2710280373801,5748.2893084180105,382.668,111.59335901387699,76.5336,22.3186718027754,11.1504,5.23289019949779,8.7335727371616,1.57135445227951,0.9339622641509434
8,0,1,1,1,8,1619.18691588785,5647.76927285942,376.42,107.639712002588,75.28399999999999,21.527942400517503,11.068,5.06539791131951,8.63935338111045,1.69509460232399,1.1320754716981132
9,0,1,1,1,9,1201.9906542056099,4798.8024625607395,312.252,87.2429968306912,62.4504,17.4485993661383,8.1496,3.92842205471866,7.48841722832484,1.51345192142017,0.8490566037735849
0,0,2,1,1,0,2308.58878504673,7331.1874558727,297.832,94.0069985479805,59.5664,18.8013997095961,7.587999999999999,4.1086075500101,7.390436267425099,1.54255048985471,1.7169811320754718
1,0,2,1,1,1,2322.9252336448603,7185.88312290787,248.388,75.2759022264097,49.6776,15.055180445281902,5.7112,3.0738045741393503,6.76099585101526,1.66531806239747,1.9056603773584904
2,0,2,1,1,2,2275.65420560748,6935.216306422951,260.232,78.213618865259,52.0464,15.6427237730518,6.1672,3.3099673956098106,7.96355873253937,2.04112112858247,1.8113207547169807
3,0,2,1,1,3,2686.27102803738,8004.286250783871,261.168,80.94103888634,52.2336,16.188207777268,6.1432,3.3704322808803,7.28567963280374,1.7061171490676998,1.7075471698113207
4,0,2,1,1,4,2413.10280373832,7883.4744023801295,268.348,83.0996203120086,53.6696,16.6199240624017,6.5976,3.44230071899594,6.660005723619769,1.4335913087989198,1.7547169811320755
5,0,2,1,1,5,2463.68224299065,7715.967330345279,290.26,89.8029420453473,58.052,17.9605884090695,7.1248,3.6102666051138104,8.60084332635315,1.82725248790259,1.8301886792452833
6,0,2,1,1,6,2673.57943925234,8302.965269250559,238.36,74.68390991371571,47.672,14.9367819827431,5.3408,2.97461516166377,6.841735433489441,1.78207980761221,1.650943396226415
7,0,2,1,1,7,2587.2803738317803,7453.5041408364,278.084,82.8072759122047,55.6168,16.561455182440902,6.9512,3.66889882117237,6.92836176547574,1.4105763375845302,1.9339622641509435
8,0,2,1,1,8,2170.8504672897197,6827.50821091878,282.14799999999997,83.71708365680209,56.4296,16.7434167313604,7.1608,3.6192683459506,7.29957434201142,1.59357867674416,1.6698113207547167
9,0,2,1,1,9,2491.57009345794,7872.32595527024,295.89599999999996,94.39430694697641,59.1792,18.8788613893953,7.1768,4.007026548452109,6.5760870525331505,1.45982270473597,1.8867924528301887
0,1,0,1,1,0,1924.6542056074802,6306.8759348822105,206.12,61.70881298485661,41.224,12.3417625969713,3.9424,2.3187328953547,6.15313669633973,1.62880530544127,1.320754716981132
1,1,0,1,1,1,1776.0,5944.04506372775,217.15200000000002,59.445781145511106,43.4304,11.889156229102198,4.1368,2.24912555452113,6.048624906929049,1.7147213026138899,1.330188679245283
2,1,0,1,1,2,1889.4018691588801,6508.02814913266,213.04,62.5836911663095,42.608000000000004,12.5167382332619,4.2088,2.32766031886098,5.88697631091579,1.5462959239771297,1.4528301886792452
